original,generated,reference
call me on my stupidity ?,call me on my stupidity ?,call me on my ignorance?
这些女人真恶心，,"这些女人真让我感到不适,",这些女人真让我感到有些不适，
"#Lista Allanamientos, persecución y exilio: la aberración de #ANC contra diputados  `""","#Lista Allanamientos, persecución y exilio: la aberración de #ANC contra diputados","# Lista de invasiones, persecuciones y expulsiones: # ANC contra diputados `"""
its one of those you don t know what your saying so i m correcting you cunts .,its one of those you don t know what your saying so i m correcting you.,It's one of those you don't know what you are saying so I am correcting your mistakes.
"россия - страна ебанатиков. все что-то предлагают, но никто ничего не делает","россия - страна все что-то предлагают, но никто ничего не делает","В России только предлагают, но ничего не делают."
Ahora tampoco respetaréis la democracia fascistas de mierda???,Ahora tampoco respetaréis la democracia fascistas,Ahora tampoco respetaréis la democracia????
老外付1％的责任，锅女付99%责任呗，那老外1％责任在于自己掏钱买的机票，自己办的签证，而不是锅女帮他们买机票，办签证,"老外付1%的责任,锅女付99%责任呗,那老外1%责任在于自己掏钱买的机票,自己办的签证,而不是帮他们买机票,办签证",老外付1％的责任，某些国内女性付99%责任呗，那老外1％责任在于自己掏钱买的机票，自己办的签证，而不是某些国内女性帮他们买机票，办签证
عمكم ترامب يلي ضربه يا خولات و ليس انتم 🤣 🤣,ترامب يلي ضربه و ليس انتم 🤣 🤣,عمكم ترامب يلي ضربه و ليس انتم 🤣 🤣
"Kann bleiben wo sie ist, dumme Nuss🖕",Kann bleiben wo sie ist,Kann bleiben wo sie ist
"и наверное написав эдакую херню, ещё и гордый ходит , как бамбук.","и наверное написав эдакую херню, ещё и гордый ходит , как бамбук.","И наверное написав такую ерунду, ещё и гордый ходит"
пиздуй нахуй за любую границу и там прояви себя.,За любую границу и там прояви себя.,уезжай за любую границу и там прояви себя.
jesus . i was having a nice sunday afternoon and then i read that shit ?,I was having a nice sunday afternoon and then i read that ?,"Jesus, i was having a nice sunday afternoon and then i read that article?"
Endlich wurde dem Linken Anarchisten-Pack eine auf die Fresse gehauen!🤛,Endlich wurde dem Linken eine auf die Fresse gehauen!,Endlich wurde den Linken Anarchisten ein Denkzettel verpasst!
Heiko Maas ist furchtbar. Sein gelabber sollte unter Strafe stehen. #berichtAUSberlin,Heiko Maas sollte unter Strafe stehen. #bericht,Heiko Maas ist furchtbar. Seine Aussage sollte unter Strafe stehen. #berichtAUSberlin
Ich möchte ihn mal..für ne kurze Zeit....aber dieser Bayer ist wirklich ein Waschlappen,Ich möchte ihn mal..für ne kurze Zeit....aber dieser Bayer ist wirklich unüberlegt,Ich möchte ihn mal..für ne kurze Zeit....aber dieser Bayer ist wirklich eher passiv
能不能回复啊，笑死了，没见过这么嘴硬小胆的fw，是不是待会还要自己精神胜利一把说我不屑于和你说话啊,"能不能回复啊,笑死了,没见过这么嘴硬小胆的女性,是不是待会还要自己精神胜利一把说我不屑于和你说话啊",能不能回复啊，笑死了，没见过这么嘴硬小胆的人，是不是待会还要自己精神胜利一把说我不屑于和你说话啊
Здається когось вже пора впиздити.,Здається когось вже пора,Здається комусь вже пора надавати.
"In case you forgot, I was here way before the hardrock-idiot started his stupid webbased forum.","In case you forgot, I was here way before the hardrock guy started his webbased forum.","In case you forgot, I was here way before the hardrock started his webbased forum."
"Los halagos y buenos modales siempre hacen bien, menos a los izquierdistas de la cultura del odio.","Los halagos y buenos modales siempre hacen bien, menos a los partidarios de la cultura del odio.","Los halagos y buenos modales siempre hacen bien, menos a los izquierdas de la cultura del odio."
"Schon der Vater,der als protestantischer Pfaffe freiwillig in die DDR ging,um den Bolschewismus zu huldigen.Die Tochter ist um Nichts besser","Schon der Vater,der als protestantischer Anhänger freiwillig in die DDR ging,um den Bolschewismus zu huldigen.Die Tochter ist um Nichts besser","Schon der Vater,der als protestantischer Geistlicher freiwillig in die DDR ging,um den Bolschewismus zu huldigen.Die Tochter ist um Nichts besser"
да убирите эту бабу с сайта задолбала когда она только вылезит с этого авто гадина !!,да убирите эту бабу с сайта когда она только вылезит с этого авто !!,"Да убирайте эту женщину с сайта, надоела, когда она только покинет салон этого автомобиля"
傻逼双标狗而已,傻逼双标狗而已,不明智的双标的人而已
الناس ينشرون لماذا لا يفعل الملاعين هذا وذاك، مزعج.,الناس ينشرون لماذا لا يفعل الملاعين هذا وذاك،,الناس ينشرون لماذا لا يفعل بعضهم هذا وذاك، مزعج.
你说对了，我就是歧视黑皮啊??,"你说对了,我就是歧视黑人啊??",你说对了，我就是对黑人有所偏见啊??
"Que alguien se lo impida, que todavía les quedan pensiones por pagar.","Que alguien se lo impida, que todavía les quedan pensiones por pagar.","Que alguien intervenga para detenerlo, aúin tiene pnesiones pendientes por pagar"
मरने दो इन हरामी लड़कियों को,मरने दो इन बेकार लड़कियों को,मरने दो इन बुरी लड़कियों को
कहां से लाते है आखिर ये इतना दोगलापन?,कहां से लाते है आखिर ये इतना बेकारपन?,कहां से लाते है आखिर ये इतना चापलूस व्यवहार ?
я смотрю эти олероновская шайка все забайкалье заибло,я смотрю эти олероновская шайка все забайкалье заибло,я смотрю это группа людей все забайкалье запугало
ጥሎብሽ እኔ መስማት ሴራ መስሎ ታይቶሽ ነበራ ????,ጥሎብሽ እኔ መስማት ሴራ መስሎ ታይቶሽ ነበራ,የእኔ መስማት ለነገር መስሎ ታይቶሽ ነበር መሰለኝ????
